Subject,Sigma,Alpha,MR,SWM,Bi
1,2.56365479354997,2.10675345946321e-07,n,n,Average
2,2.56363497777856,0.0268704720965958,n,n,Average
3,2.77636130598392,1.03964121755951e-08,n,n,Average
4,16.5726674466576,0.0669787350548032,n,n,Average
5,4.28402709655454,5.37474620365685e-10,n,n,Average
6,3.60859835125797,1.06856218318185e-08,n,n,Average
7,3.49958079519727,5.35032378401468e-08,n,n,Average
8,4.23570574467306,1.0648052550799e-08,n,n,Average
9,2.56362884862256,1.07216167055668e-08,n,n,Average
10,3.38927429244042,1.05369150071866e-08,n,n,Average
11,2.56362847801755,2.08631700804318e-09,n,n,Average
12,3.52509961806503,1.06384352438482e-08,n,n,Average
13,2.56362840994802,2.08333095219615e-09,n,n,Average
14,2.56362867257739,5.14758834446738e-08,n,n,Average
15,3.05843029197633,1.10353747251324e-08,n,n,Average
16,3.15036838273109,1.05934184757572e-08,n,n,Average
1,10.6071718861554,1.17486119721733e-08,MR,n,Average
2,7.11976087071851,1.20324750163547e-08,MR,n,Average
3,10.2567749927296,6.72614756114243e-08,MR,n,Average
4,20.6385336009809,0.0712897521356076,MR,n,Average
5,9.63164047164967,1.20556686855622e-08,MR,n,Average
6,14.309707468059,1.31479381826338e-08,MR,n,Average
7,13.1186958634576,6.15174640117289e-08,MR,n,Average
8,8.45221453048367,1.1625217233302e-08,MR,n,Average
9,9.63482437578105,1.5632674599253e-08,MR,n,Average
10,12.9821558827741,0.206844346781782,MR,n,Average
11,9.10932603745075,5.99528759970269e-10,MR,n,Average
12,7.55129269631348,1.1765737495395e-08,MR,n,Average
13,6.99212366870139,1.13918895428e-08,MR,n,Average
14,5.39729862027034,5.52920687013625e-09,MR,n,Average
15,11.6667277696454,6.21182050242197e-09,MR,n,Average
16,11.7216674227326,0.0310543654166516,MR,n,Average
1,14.5985101292079,0.0822335011959182,n,SWM,Average
2,9.14936783687879,0.090177309662873,n,SWM,Average
3,8.82288818779844,0.0429565583827555,n,SWM,Average
4,14.7576435981693,0.286861466692125,n,SWM,Average
5,10.3940667234637,0.0272484028185558,n,SWM,Average
6,16.222273633234,0.374954250785502,n,SWM,Average
7,7.24609096018742,0.364380819662671,n,SWM,Average
8,15.0779683095751,0.186163770394316,n,SWM,Average
9,10.8499028616189,0.0459955299906337,n,SWM,Average
10,12.9881765112397,0.218968361629369,n,SWM,Average
11,10.5621168632639,0.0476391311831588,n,SWM,Average
12,7.91292599139859,0.0458723838008728,n,SWM,Average
13,10.6711443587707,0.218646468585826,n,SWM,Average
14,8.73186061089776,0.168897878169991,n,SWM,Average
15,10.1911182359048,0.0895668995342561,n,SWM,Average
16,9.72163191816429,0.169117144959843,n,SWM,Average
1,30.4730941020456,0.374221046195819,MR,SWM,Average
2,16.6040759022636,0.230738439413244,MR,SWM,Average
3,15.4933334486509,0.0755924019728894,MR,SWM,Average
4,23.5812666177991,0.320238947902124,MR,SWM,Average
5,15.0915173117612,0.24617363023523,MR,SWM,Average
6,58.4521341579438,0.271960980728518,MR,SWM,Average
7,10.7740672222421,0.596385032618882,MR,SWM,Average
8,20.3863797612244,0.208208006573426,MR,SWM,Average
9,12.3104842964425,0.311492434497657,MR,SWM,Average
10,8.44374609651324,0.855867945781182,MR,SWM,Average
11,9.93835848242834,0.430037842178094,MR,SWM,Average
12,13.9364805666605,0.100309980607167,MR,SWM,Average
13,11.8446135944962,0.34113305800473,MR,SWM,Average
14,17.7057858426249,0.240171681953209,MR,SWM,Average
15,21.2500992478699,0.207928264653629,MR,SWM,Average
16,13.4264023675975,0.220117042482064,MR,SWM,Average
1,7.31581584786434,6.27333329727975e-09,n,n,Bimanual
2,3.41635488779903,1.09843300011292e-08,n,n,Bimanual
3,4.45915948099838,1.07865674170426e-08,n,n,Bimanual
4,25.6464814651795,0.342765555234687,n,n,Bimanual
5,4.45948844995376,5.33178867723194e-09,n,n,Bimanual
6,5.61751161853852,0.0543483471708734,n,n,Bimanual
7,3.72998248813131,2.13718465147394e-09,n,n,Bimanual
8,4.17354619188348,2.16761519844511e-09,n,n,Bimanual
9,4.83992008671987,1.49413466044024e-08,n,n,Bimanual
10,5.14141744129851,1.09170112949641e-08,n,n,Bimanual
11,3.9868224656462,1.13560376657773e-08,n,n,Bimanual
12,5.03867393345164,1.13341774854447e-08,n,n,Bimanual
13,3.6440194734343,2.32238541286733e-07,n,n,Bimanual
14,4.44102499033176,2.15266182657103e-09,n,n,Bimanual
15,4.44583392150775,2.15877538067843e-09,n,n,Bimanual
16,5.98033049253149,1.12857009293421e-08,n,n,Bimanual
1,14.7117430563837,0.0317829832052364,MR,n,Bimanual
2,8.07498808692487,0.030527818405476,MR,n,Bimanual
3,6.60841228497989,0.0786375605359542,MR,n,Bimanual
4,22.7106589342458,0.219923207313813,MR,n,Bimanual
5,15.6269422062446,1.56405647322444e-08,MR,n,Bimanual
6,16.3077288041525,0.20249575459091,MR,n,Bimanual
7,10.7461315055675,1.39342304361634e-08,MR,n,Bimanual
8,10.7279727524536,3.91195242865905e-09,MR,n,Bimanual
9,8.2627079840717,1.13697070647234e-08,MR,n,Bimanual
10,14.0314686691264,0.242985685141612,MR,n,Bimanual
11,7.96786702494268,0.0292196626699261,MR,n,Bimanual
12,10.1635127048134,0.0521892377234813,MR,n,Bimanual
13,6.7388892432719,1.11746466524565e-08,MR,n,Bimanual
14,5.34915516782284,2.73572163811409e-08,MR,n,Bimanual
15,11.1159772225107,1.16891193391311e-08,MR,n,Bimanual
16,11.0825996504386,1.30128934405782e-07,MR,n,Bimanual
1,13.0411301514811,0.371571062386438,n,SWM,Bimanual
2,13.5034097889171,0.0686779582491563,n,SWM,Bimanual
3,15.4551695611175,5.38250672921237e-08,n,SWM,Bimanual
4,28.1748421547439,0.586559240658323,n,SWM,Bimanual
5,16.7725029591746,0.105039402383629,n,SWM,Bimanual
6,30.6571371629368,0.662655553987734,n,SWM,Bimanual
7,14.8690506215285,0.363891002848823,n,SWM,Bimanual
8,16.3888500660607,0.249275136026584,n,SWM,Bimanual
9,11.1184598300296,0.137506173427326,n,SWM,Bimanual
10,25.7798461717531,0.319766851198046,n,SWM,Bimanual
11,8.52614892658042,0.148391667265405,n,SWM,Bimanual
12,9.61343087860832,0.149905992460964,n,SWM,Bimanual
13,16.013230673448,0.167723400139127,n,SWM,Bimanual
14,12.6168523108644,0.0993924274838295,n,SWM,Bimanual
15,11.3693594877943,1.05575330699992e-08,n,SWM,Bimanual
16,9.32363269661251,0.143381203420618,n,SWM,Bimanual
1,13.2164298469644,0.514872516079481,MR,SWM,Bimanual
